"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"49.4831804","2.690829","H742373502","L'Aronde à Gournay-sur-Aronde [Arsonval la féculerie] - Gournay sur Aronde (Arsonval la Fuculerie)","","185","","0.95","6"
"49.4919943","2.6405552","H7423740","L'Aronde à Moyenneville","","96.1","","0.95","0"
"49.4919943","2.6405552","H742374001","L'Aronde à Moyenneville","","96.1","","0.95","0"
"49.5004046","2.6164162","H7423745","L'Aronde à Wacquemoulin","","90.8","","0.95","0"
"49.5004046","2.6164162","H742374501","L'Aronde à Wacquemoulin","","90.8","","0.95","0"
"49.4139433","2.8057822","H7501010","L'Oise à Jaux et à Venette","","12985","276","0.95","12"
"49.4139433","2.8057822","H750101001","L'Oise à Venette","","12985","276","0.95","12"
"49.3860897","2.7784175","H750101002","L'Oise à Jaux","","12985","","0.95","0"
"49.3205575","2.7299647","H7501020","L'Oise à Verberie","","13052","","0.95","0"
"49.3205575","2.7299647","H750102001","L'Oise à Verberie","","13052","","0.95","0"
"49.306823","2.774263","H7513010","L'Automne à Saintines","","276","4.54","0.95","51"
"49.306823","2.774263","H751301001","L'Automne à Saintines","","276","4.54","0.95","51"
"49.241684","3.0338453","H7513030","L'Automne à Vauciennes","","30","0.809","0.95","33"
"49.241684","3.0338453","H751303001","L'Automne à Vauciennes","","30","0.809","0.95","33"
"49.2711088","2.8499791","H7513610","La Sainte-Marie à Glaignes","","97","1.30","0.95","35"
"49.2711088","2.8499791","H751361001","La Sainte-Marie à Glaignes","","97","1.30","0.95","35"
"49.28753","2.4613847","H7602010","La Breche à Nogent-sur-Oise","","457","4.72","0.95","44"
"49.28753","2.4613847","H760201001","La Breche à Nogent-sur-Oise","","457","4.72","0.95","44"
"49.5064698","1.9661915","H7702010","Le Therain à Bonnières","","201","4.06","0.95","54"
"49.5064696","1.9661949","H770201001","Le Therain à Bonnières","","201","4.06","0.95","54"
"49.528796","1.9990874","H7713010","Le Petit Therain à Saint-Omer-en-Chaussée","","213","2.02","0.95","50"
"49.528796","1.9990874","H771301001","Le Petit Therain à Saint-Omer-en-Chaussée","","213","2.02","0.95","50"
"49.4304463","2.0562361","H7733010","L'Avelon à Goincourt","","171","5.95","0.95","38"
"49.4304463","2.0562361","H773301001","L'Avelon à Goincourt","","171","5.95","0.95","38"
"49.4261201","2.0839866","H7742010","Le Therain à Beauvais","","750","15.4","0.95","52"
"49.4261201","2.0839866","H774201001","Le Therain à Beauvais","","750","15.4","0.95","52"
"49.2620208","2.3780663","H7742020","Le Therain à Maysel","","1218","17.5","0.95","74"
